rung  WNS      delta   worst startpoint -> endpoint
  73   -1.429  +0.001   _zz_DecodeStage_logic_fed_payload_specs_1_srcEa_klass_reg[1]/C -> DecodeStage_logic_stashUops_2_indexScale_reg[0]/R
  74   -1.429  +0.000   FetchAlignPlugin_logic_ftqMem_reg_0_31_0_13/RAMD/CLK -> FetchAlignPlugin_logic_p0LiveReg_lenWords_reg[2]/D
  75   -1.428  +0.001   FetchAlignPlugin_logic_ftqMem_reg_0_31_0_13/RAMF_D1/CLK -> FetchAlignPlugin_logic_p0LiveReg_lenWords_reg[2]/D
  76   -1.424  +0.004   DcachePlugin_logic_valids_1_74_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  77   -1.424  +0.000   FetchAlignPlugin_logic_ibuf/headPtr_reg[3]/C -> FetchAlignPlugin_logic_ftqMismatchPcReg_reg[17]/CE
  78   -1.422  +0.002   RobPlugin_logic_exc_ldoValidReg_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[9]/R
  79   -1.421  +0.001   DcachePlugin_logic_valids_3_58_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  80   -1.420  +0.001   AluEuPlugin_logic_s1Ctx_uop_op_1_reg[2]/C -> BranchEuPlugin_logic_s1Index_reg[5]/D
  81   -1.415  +0.005   DcachePlugin_logic_valids_3_33_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  82   -1.415  +0.000   FetchAlignPlugin_logic_decodePc_reg[0]/C -> FetchAlignPlugin_logic_ftqMismatchPcReg_reg[17]/CE
  83   -1.414  +0.001   DcachePlugin_logic_valids_3_95_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  84   -1.410  +0.004   DcachePlugin_logic_valids_3_71_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  85   -1.409  +0.001   DcachePlugin_logic_valids_1_64_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  86   -1.407  +0.002   DcachePlugin_logic_valids_3_90_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  87   -1.404  +0.003   RobPlugin_logic_head_reg[0]_rep__6/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
  88   -1.403  +0.001   RobPlugin_logic_completes_62_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
  89   -1.402  +0.001   DecodeStage_logic_ucPendValid_reg_rep__3/C -> DecodeStage_logic_ucRomMem_spinal_port0_reg[44]/D
  90   -1.400  +0.002   DcachePlugin_logic_valids_3_91_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
  91   -1.398  +0.002   RobPlugin_logic_faultedStore_57_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
  92   -1.398  +0.000   RobPlugin_logic_faultedStore_59_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
  93   -1.397  +0.001   DcachePlugin_logic_fsm_stateReg_reg[2]_rep__0/C -> RobPlugin_logic_faultAddrStore_60_reg[31]/CE
  94   -1.394  +0.003   RobPlugin_logic_faultedStore_4_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
  95   -1.391  +0.003   FetchAlignPlugin_logic_ftqMem_reg_0_31_0_13/RAME_D1/CLK -> FetchAlignPlugin_logic_p0LiveReg_lenWords_reg[2]/D
  96   -1.389  +0.002   RobPlugin_logic_faultedStore_63_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
